object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.376872458Z level=info msg="Migration successfully executed" id="Convert existing annotations from seconds to milliseconds" duration=249.51µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.505001007Z level=info msg="Executing migration" id="Add epoch_end column"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.507360102Z level=info msg="Migration successfully executed" id="Add epoch_end column" duration=2.363795ms    
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.640347847Z level=info msg="Executing migration" id="Add index for epoch_end"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.641214382Z level=info msg="Migration successfully executed" id="Add index for epoch_end" duration=873.835µs  
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.759135322Z level=info msg="Executing migration" id="Make epoch_end the same as epoch"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.759384632Z level=info msg="Migration successfully executed" id="Make epoch_end the same as epoch" duration=251.21µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.89843352Z level=info msg="Executing migration" id="Move region to single row"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:48.898749433Z level=info msg="Migration successfully executed" id="Move region to single row" duration=317.213µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.0397363Z level=info msg="Executing migration" id="Remove index org_id_epoch from annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.040693338Z level=info msg="Migration successfully executed" id="Remove index org_id_epoch from annotation table" duration=959.538µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.1118906Z level=info msg="Executing migration" id="Remove index org_id_dashboard_id_panel_id_epoch from annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.112590528Z level=info msg="Migration successfully executed" id="Remove index org_id_dashboard_id_panel_id_epoch from annotation table" duration=702.628µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.133578472Z level=info msg="Executing migration" id="Add index for org_id_dashboard_id_epoch_end_epoch on annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.134210097Z level=info msg="Migration successfully executed" id="Add index for org_id_dashboard_id_epoch_end_epoch on annotation table" duration=634.026µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.138132155Z level=info msg="Executing migration" id="Add index for org_id_epoch_end_epoch on annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.138654376Z level=info msg="Migration successfully executed" id="Add index for org_id_epoch_end_epoch on annotation table" duration=522.721µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.142013911Z level=info msg="Executing migration" id="Remove index org_id_epoch_epoch_end from annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.142808643Z level=info msg="Migration successfully executed" id="Remove index org_id_epoch_epoch_end from annotation table" duration=796.432µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.146086074Z level=info msg="Executing migration" id="Add index for alert_id on annotation table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.146606995Z level=info msg="Migration successfully executed" id="Add index for alert_id on annotation table" duration=522.121µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.149674418Z level=info msg="Executing migration" id="Increase tags column to length 4096"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.149733321Z level=info msg="Migration successfully executed" id="Increase tags column to length 4096" duration=60.503µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.152088816Z level=info msg="Executing migration" id="create test_data table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.152530833Z level=info msg="Migration successfully executed" id="create test_data table" duration=443.818µs   
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.155988472Z level=info msg="Executing migration" id="create dashboard_version table v1"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.156473292Z level=info msg="Migration successfully executed" id="create dashboard_version table v1" duration=485.82µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.159628319Z level=info msg="Executing migration" id="add index dashboard_version.dashboard_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.160146639Z level=info msg="Migration successfully executed" id="add index dashboard_version.dashboard_id" duration=518.821µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.16338577Z level=info msg="Executing migration" id="add unique index dashboard_version.dashboard_id and dashboard_version.version"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.163964793Z level=info msg="Migration successfully executed" id="add unique index dashboard_version.dashboard_id and dashboard_version.version" duration=576.524µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.167166622Z level=info msg="Executing migration" id="Set dashboard version to 1 where 0"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.167288726Z level=info msg="Migration successfully executed" id="Set dashboard version to 1 where 0" duration=123.105µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.170484655Z level=info msg="Executing migration" id="save existing dashboard data in dashboard_version table v1"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.170720064Z level=info msg="Migration successfully executed" id="save existing dashboard data in dashboard_version table v1" duration=236.709µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.174150902Z level=info msg="Executing migration" id="alter dashboard_version.data to mediumtext v1"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.174230105Z level=info msg="Migration successfully executed" id="alter dashboard_version.data to mediumtext v1" duration=82.003µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.177498737Z level=info msg="Executing migration" id="create team table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.178148763Z level=info msg="Migration successfully executed" id="create team table" duration=650.926µs        
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.181349792Z level=info msg="Executing migration" id="add index team.org_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.181944415Z level=info msg="Migration successfully executed" id="add index team.org_id" duration=595.324µs    
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.185023139Z level=info msg="Executing migration" id="add unique index team_org_id_name"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.18553756Z level=info msg="Migration successfully executed" id="add unique index team_org_id_name" duration=514.721µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.188594283Z level=info msg="Executing migration" id="Add column uid in team"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.191110684Z level=info msg="Migration successfully executed" id="Add column uid in team" duration=2.516301ms  
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.194643326Z level=info msg="Executing migration" id="Update uid column values in team"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.194790632Z level=info msg="Migration successfully executed" id="Update uid column values in team" duration=148.706µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.198179868Z level=info msg="Executing migration" id="Add unique index team_org_id_uid"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.198752091Z level=info msg="Migration successfully executed" id="Add unique index team_org_id_uid" duration=573.023µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.202388937Z level=info msg="Executing migration" id="create team member table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.202875257Z level=info msg="Migration successfully executed" id="create team member table" duration=487.12µs  
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.206226191Z level=info msg="Executing migration" id="add index team_member.org_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.206820815Z level=info msg="Migration successfully executed" id="add index team_member.org_id" duration=595.824µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.210228052Z level=info msg="Executing migration" id="add unique index team_member_org_id_team_id_user_id"     
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.210837377Z level=info msg="Migration successfully executed" id="add unique index team_member_org_id_team_id_user_id" duration=613.125µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.214456022Z level=info msg="Executing migration" id="add index team_member.team_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.214997744Z level=info msg="Migration successfully executed" id="add index team_member.team_id" duration=541.922µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.218431982Z level=info msg="Executing migration" id="Add column email to team table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.221144191Z level=info msg="Migration successfully executed" id="Add column email to team table" duration=2.709309ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.22459573Z level=info msg="Executing migration" id="Add column external to team_member table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.227009327Z level=info msg="Migration successfully executed" id="Add column external to team_member table" duration=2.415297ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.230649673Z level=info msg="Executing migration" id="Add column permission to team_member table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.233123272Z level=info msg="Migration successfully executed" id="Add column permission to team_member table" duration=2.473799ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.236665715Z level=info msg="Executing migration" id="create dashboard acl table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.237199736Z level=info msg="Migration successfully executed" id="create dashboard acl table" duration=534.321µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.240894985Z level=info msg="Executing migration" id="add index dashboard_acl_dashboard_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.241466608Z level=info msg="Migration successfully executed" id="add index dashboard_acl_dashboard_id" duration=572.723µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.24475524Z level=info msg="Executing migration" id="add unique index dashboard_acl_dashboard_id_user_id"      
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.245385965Z level=info msg="Migration successfully executed" id="add unique index dashboard_acl_dashboard_id_user_id" duration=631.425µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.248682798Z level=info msg="Executing migration" id="add unique index dashboard_acl_dashboard_id_team_id"     
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.24922582Z level=info msg="Migration successfully executed" id="add unique index dashboard_acl_dashboard_id_team_id" duration=543.922µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.252297743Z level=info msg="Executing migration" id="add index dashboard_acl_user_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.252858666Z level=info msg="Migration successfully executed" id="add index dashboard_acl_user_id" duration=561.723µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.255874787Z level=info msg="Executing migration" id="add index dashboard_acl_team_id"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.256387708Z level=info msg="Migration successfully executed" id="add index dashboard_acl_team_id" duration=513.42µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.259339226Z level=info msg="Executing migration" id="add index dashboard_acl_org_id_role"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.259893048Z level=info msg="Migration successfully executed" id="add index dashboard_acl_org_id_role" duration=554.522µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.262964972Z level=info msg="Executing migration" id="add index dashboard_permission"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.263537095Z level=info msg="Migration successfully executed" id="add index dashboard_permission" duration=572.323µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.266730023Z level=info msg="Executing migration" id="save default acl rules in dashboard_acl table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.267039136Z level=info msg="Migration successfully executed" id="save default acl rules in dashboard_acl table" duration=309.613µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.270172862Z level=info msg="Executing migration" id="delete acl rules for deleted dashboards and folders"     
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.270327568Z level=info msg="Migration successfully executed" id="delete acl rules for deleted dashboards and folders" duration=155.206µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.273279186Z level=info msg="Executing migration" id="create tag table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.273678703Z level=info msg="Migration successfully executed" id="create tag table" duration=399.316µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.27684023Z level=info msg="Executing migration" id="add index tag.key_value"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.277414853Z level=info msg="Migration successfully executed" id="add index tag.key_value" duration=575.024µs  
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.280816789Z level=info msg="Executing migration" id="create login attempt table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.281231906Z level=info msg="Migration successfully executed" id="create login attempt table" duration=414.717µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.286024199Z level=info msg="Executing migration" id="add index login_attempt.username"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.286587321Z level=info msg="Migration successfully executed" id="add index login_attempt.username" duration=564.122µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.289646944Z level=info msg="Executing migration" id="drop index IDX_login_attempt_username - v1"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.290301171Z level=info msg="Migration successfully executed" id="drop index IDX_login_attempt_username - v1" duration=654.627µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.293479598Z level=info msg="Executing migration" id="Rename table login_attempt to login_attempt_tmp_qwerty - v1"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.30572099Z level=info msg="Migration successfully executed" id="Rename table login_attempt to login_attempt_tmp_qwerty - v1" duration=12.238992ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.309995162Z level=info msg="Executing migration" id="create login_attempt v2"
